,Valid,Review
1350,1.0,egging fine year seasonal drink enjoy sparingly liquid christmas
1351,1.0,church ever lock door likely find service anytime especially time year
1352,1.0,make feel better always leave thought would
1353,1.0,make happy one else answer
1354,0.0,agree response
1355,1.0,go church
1356,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1357,1.0,called politics interfering people country business
1358,0.0,contrary israel delighted serious question
1359,1.0,joyce main function israeli gov knesset pm residence principal govt department located jerusalem year problem surprise confusion religion pitiful palestinian muslim lack better description conquered peopleconfusion still proclaim jerusalem capital promised land though actual govtconfusion claim buttressed parasitic muslim faith region whose tenuous claim city fantastical story duran say muhammad flew white horse jerusalem mile mecca back one night simply astoundingconfusion ascend heaven dome rock built suspiciously enoughconfusion atop old jewishconfusion temple solomon firm basis land claim ever trump merely stated obvious jerusalem functioning capital israel pm netanyahu elated way local muslim palestinian sycophantsconfusion responded simple statement known fool compulsive liar trumpconfusion feigning insult rioting burning shop garbage car neighborhood brilliant curious sensitive disrespect tend worst enemy confusion israeli daily lot hunter deal yet violent islamic social dysfunction outside door
1360,0.0,absolutely
1361,1.0,please try might get hurt pain would differ worth since still would differ mermaid
1362,1.0,sure perhaps sardine
1363,0.0,thinking movie splash fun fantasy
1364,1.0,yes mermaid costume brine
1365,1.0,yes nasty like mom say bleed color
1366,1.0,nothing funny racism
1367,1.0,put question another way funny make fun something funny funny like made fun either even happened past make right anymore revenge
1368,0.0,difference sense humor tumor growing
1369,1.0,mean put alcohol pretty expensive stuff wish could find alcohol free recipe
1370,1.0,nope care egging
1371,1.0,could get past thick odd texture however enough echo egg not probably would ignore texture
1372,1.0,way back quit year ago still get quart local kind around holiday season pour small glass sip
1373,1.0,big egging fan enjoy
1374,1.0,egging fine year seasonal drink enjoy sparingly liquid christmas
1375,0.0,absolutely
1376,1.0,please try might get hurt pain would differ worth since still would differ mermaid
1377,1.0,sure perhaps sardine
1378,0.0,thinking movie splash fun fantasy
1379,1.0,yes mermaid costume brine
1380,1.0,today unfortunately woman started suffer hair loss balding problem completely associated middle aged pot bellied men past expert say started treat patient suffering hair loss young fifteen sixteen time girl prime life health must aware hair grows rate one half inch every month certain period time ranging two six year go state rest start fall hair follicle happens new hair start grow place woman androgen present abundance happens natural cycle get interrupted build dihydrotestosterone dot take place cause woman lose hair expert say vital maintain hygiene one scalp scalp oily may well lead formation dandruff turn lead hair loss however cause hair loss
1381,1.0,number thing cause excesivehair loss example month illness major surgery may suddenly lose large amount hair hair loss related stress illness temporary hormonal problem may cause hair loss thyroid gland overactive interactive hair may fall hair loss usually helped treatmenthyroid disease hair loss may occur male female hormone known androgen oestrogen balance correcting hormone imbalance may stop hair loss
1382,1.0,people experience hair loss life oily hair likely nothing hard say people lose lot others applies woman men woman lose hair younger year could thyroid issue increase stress consequently depleted essential vitamin mineral alone could cause significant hair loss woman matter age basically stress whether due illness potential cause hair loss anyone hair loss often much dramatic noticeable men still disconcerting hard know exact cause without seeing professional many people use special shampoo treatment help stimulate regrowth prevent hair falling sample him something similar see help
1383,1.0,yes nasty like mom say bleed color
1384,1.0,nothing funny racism
1385,1.0,put question another way funny make fun something funny funny like made fun either even happened past make right anymore revenge
1386,0.0,difference sense humor tumor growing
1387,1.0,pfefernuse cook ok top list
1388,1.0,never l go sit tree today read thank otis
1389,1.0,forget pfefernuse since moved away ny little kid thrilled
1390,1.0,someone made brought u work many year ago liked
1391,1.0,never sound interesting
1392,0.0,german spiked cook
1393,1.0,called politics interfering people country business
1394,0.0,contrary israel delighted serious question
1395,1.0,joyce main function israeli gov knesset pm residence principal govt department located jerusalem year problem surprise confusion religion pitiful palestinian muslim lack better description conquered peopleconfusion still proclaim jerusalem capital promised land though actual govtconfusion claim buttressed parasitic muslim faith region whose tenuous claim city fantastical story duran say muhammad flew white horse jerusalem mile mecca back one night simply astoundingconfusion ascend heaven dome rock built suspiciously enoughconfusion atop old jewishconfusion temple solomon firm basis land claim ever trump merely stated obvious jerusalem functioning capital israel pm netanyahu elated way local muslim palestinian sycophantsconfusion responded simple statement known fool compulsive liar trumpconfusion feigning insult rioting burning shop garbage car neighborhood brilliant curious sensitive disrespect tend worst enemy confusion israeli daily lot hunter deal yet violent islamic social dysfunction outside door
1396,1.0,church ever lock door likely find service anytime especially time year
1397,1.0,make feel better always leave thought would
1398,1.0,make happy one else answer
1399,0.0,agree response
1400,1.0,go church
1401,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1402,1.0,church ever lock door likely find service anytime especially time year
1403,1.0,make feel better always leave thought would
1404,1.0,make happy one else answer
1405,0.0,agree response
1406,1.0,go church
1407,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1408,1.0,pfefernuse cook ok top list
1409,1.0,never l go sit tree today read thank otis
1410,1.0,forget pfefernuse since moved away ny little kid thrilled
1411,1.0,someone made brought u work many year ago liked
1412,1.0,never sound interesting
1413,0.0,german spiked cook
1414,1.0,church ever lock door likely find service anytime especially time year
1415,1.0,make feel better always leave thought would
1416,1.0,make happy one else answer
1417,0.0,agree response
1418,1.0,go church
1419,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1420,1.0,yes nasty like mom say bleed color
1421,1.0,nothing funny racism
1422,1.0,put question another way funny make fun something funny funny like made fun either even happened past make right anymore revenge
1423,0.0,difference sense humor tumor growing
1424,0.0,nan
1425,1.0,bat bite would say
1426,1.0,answer b sideline manner trinity corporate
1427,1.0,think b
1428,1.0,ab ab axe axa axe axa using cancellation eliminate common b hope help
1429,0.0,shorten use smaller font reduce lowest term see goat mcpherson answer
1430,1.0,today unfortunately woman started suffer hair loss balding problem completely associated middle aged pot bellied men past expert say started treat patient suffering hair loss young fifteen sixteen time girl prime life health must aware hair grows rate one half inch every month certain period time ranging two six year go state rest start fall hair follicle happens new hair start grow place woman androgen present abundance happens natural cycle get interrupted build dihydrotestosterone dot take place cause woman lose hair expert say vital maintain hygiene one scalp scalp oily may well lead formation dandruff turn lead hair loss however cause hair loss
1431,1.0,number thing cause excesivehair loss example month illness major surgery may suddenly lose large amount hair hair loss related stress illness temporary hormonal problem may cause hair loss thyroid gland overactive interactive hair may fall hair loss usually helped treatmenthyroid disease hair loss may occur male female hormone known androgen oestrogen balance correcting hormone imbalance may stop hair loss
1432,1.0,people experience hair loss life oily hair likely nothing hard say people lose lot others applies woman men woman lose hair younger year could thyroid issue increase stress consequently depleted essential vitamin mineral alone could cause significant hair loss woman matter age basically stress whether due illness potential cause hair loss anyone hair loss often much dramatic noticeable men still disconcerting hard know exact cause without seeing professional many people use special shampoo treatment help stimulate regrowth prevent hair falling sample him something similar see help
1433,0.0,nan
1434,1.0,bat bite would say
1435,1.0,yes nasty like mom say bleed color
1436,1.0,nothing funny racism
1437,1.0,put question another way funny make fun something funny funny like made fun either even happened past make right anymore revenge
1438,0.0,difference sense humor tumor growing
1439,1.0,church ever lock door likely find service anytime especially time year
1440,1.0,make feel better always leave thought would
1441,1.0,make happy one else answer
1442,0.0,agree response
1443,1.0,go church
1444,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1445,1.0,church ever lock door likely find service anytime especially time year
1446,1.0,make feel better always leave thought would
1447,1.0,make happy one else answer
1448,0.0,agree response
1449,1.0,go church
1450,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1451,1.0,church sunday written bile joe armstrong convince adrienne leave still together billy joe met adrienne concert back speculation regarding separation sparked couple put house sale last year however new news story stating broken assumed still together adrienne asked take offence lyric bile joe writes worry relationship said write feel honest many fan dislike adrienne feeling rude horrible totally full smug highly arrogant seen horrible fan also suggested chooses get meet brenda many feel right decide get met one fan stated even offical celebrity one come see either need get agent real job another felt right going around crowd co fan come see need get husband rumoured groupie take mistrust fan assumes everyone want going husband mostly spotted fan removed security concert walking around crowd signing rude female stupid enough believe famous think big massive famous celebrity bile doormat reel wife fat narcissistic neck think green day get busy interacting fan fan blow fan page etc despite reality fan fan interacting fan suck get bile joe also rumoured open marriage bile joe seen several different woman still together truly need go seperate way would good idea woman stop poking nose interfering career official celebrity fan suck smug narcissistic bitch order fan green day yoko ono green day fan wish would fuck turning fan bile think funny get security push fan way people buy albums lifestyle think famous thing like charity endorsement interview magazine via web tv always trying get fringing face lens back husband think famous reality people think god darn annoyance problem enough silly girl willing pander make think important special famous celebrity see bile joe armstrong waking anytime soon fame hungry materialistic hypocrite anyone tell truth dislike get verbally attacked internet user lecturing true fan user claim know claim hell go one actually get career one first placeconfusion stop poking nose interfering husband feel need interact fan fan interact due
1452,1.0,guy freaking full probably bunch wishful thinker want bj single adrienne get fantasy bile joe never divorce adrienne nice beautiful way may think gun divorce guess time reading comment make sick furthermore natural would progress career need remind since famous really think bad intention fight married couple long bj forgives continues love respect green day fan right act like wow grendayauthority com click quote section click bile joe read say think romance beautiful
1453,1.0,guy honestly longer fan fat cow really ever consider still kid ignore obviously like band music anymore something seriously wrong world
1454,1.0,beast finally leave ever hear story fighting married pretty much unknown totally outgrown popularity grew became resentful fame female fan time move bile much better
1455,1.0,whoever guest posted bile female fan sank groupie ashamed disbelieve call green day fan say something like green day fan nobody poisonous jealousy adrienne quite unattractive weight nobody would reason jealous bile divorce loses fan
1456,1.0,noi forget getting divorced still seems married minnesota fat although majority fan wish would dump sorry as already said couple year ago came close divorcing fan hoping would gone fat nasty pig bile deserves much better monster married
1457,1.0,think bile add fuel fire public fight heard rumour year getting divorced personally think divorce already way good think resentful bile popularity unkind female fan besides ugliest woman planet also honest woman planet much full record signing green day past tour walking around like kind celebrity like people actually see reality everyone like bile nice parent child absolutely rude anyone twenty early thirty attractive pretty girl rolled eye scowled really looked going threw crowd check going husband moved far could get away look sloppy dirty afraid louse bug would pop hair jump onto impressed behavior idea bile see look like monster even nice person divorcing eventually turn fan train wreck career deserve much better
1458,1.0,heard actually separating sure divorce separating personally think bile leave much better forget jealousy part female fan rather think jealousy part towards female fan bile become huge star think know lot better take female fan think resentful success try keep attractive female fan away much possible seen close person unattractive woman alive also complete phony nice kid fan parent child completely rude nasty attractive female fan take hint bile fan female keep nasty lose fan base agree bile smart would leave already
1459,1.0,said gun song really impeding divorce many people say longer together sudden sale house lived past fifteen year sure sign fat nasty pig bile joe divorce
1460,1.0,guy accept adrienne beautiful woman absolutely nice hater get bile would never ever anything per kid age get fu dream cloud get real life childish love green day bile joe adrienne get another favorite band become real fan stop nasty
1461,1.0,well going might true bile made gun video dos true heard embarrassed blushing
1462,1.0,funny guy say ruining career got married year green day got famous signed onto reprise ruining career would bad beginning song like time pulling teeth minnesota girl green day love song inspired bile even said suicidal younger full empty rage miracle met adrienne confident people thought without would nothing done nothing take excellent care child long love happy even think get divorced refrain lovey dovey public like attention like keep love life private absolve using would drawn line year ago first million dollar year would took left wanted married year truly love nothing ever going change bet life tongue sticking cheeky playful blowing raspberry
1463,1.0,wow guy pathetic sitting making crap ignore adrienne bile joe making rumour wonder would stay poor remember met aka way green day big private life absolutely nothing yes famous yes people going business guess understand care much get divorce nothing happy face smiley
1464,1.0,posted one day longer together certainly would explain house put sale sudden middle green day world tour kid starting new school year also house put sale local paper listed one several fan site put article day later removed seems want divorce quietly
1465,1.0,ignore divorcing sick hearing droning woman accomplished done nothing merit life beside get pregnant timeconfusion coming rock star would clothing store clothing line bile money name behind charity would ever interested unmarried bile joe armstrong accomplishment really bile joe accomplishment way female fan treated totally disgusting bile joe need wake see musician absolutely nothing fan bile joe said interview made sold joint two buck musician would probably drug dealer made actually said thing interview look confusion wondering loses fan base return former occupation would still stay would even never made still former occupation chance think stayed meal ticket stupid girl fan nasty funding fancy lifestyle smart would leave
1466,1.0,sure divorcing hear people saying people saying agree comment finally leave already bile admitted concert interview lot nasty fight would tell anyone situation walk away hardly think fan jealous think way around look like monster sure bother husband many choice beautiful woman choose bend backwards make happy seem appreciate really dump already career taken totally outgrown could much better
1467,1.0,adrienne accomplished done life bile joe child failed clothing line anything tried could done bile joe money certainly ugly actually quite horror divorce already little curious people internet claim know many detail personal life make think random person fan could possibly know detail personal life like spends christmas detail kid school sound like actually mr someone close make completely pathetic wonder turning away bile fan drove
1468,1.0,heard anything official divorcing forget agree majority comment left long time ago probably around time wrote song redundant definitely holding career back ultimately destroy seems turning many fan likely hood bile solo career success solo project highly unlikely long involved guess bile realize many fan female monster married turning people green day wake see fan gone love bile joe heart brilliant musician hell good looking guy negate wife fancy lifestyle anymore anyone nasty fan deserve make sad bile joe suffer horrible woman
1469,1.0,really sure divorcing go see tv medium say claim many celebrity couple happy love truth actually quite opposite e g brad pitt jennifer ariston tiger wood mr think never really know truth see another webster song last night earth actually admission bile affair listen word state moonlight life someone see night secret state everything day night whole song refers love sent someone obviously close maybe divorcing maybe someone else
1470,1.0,people saying divorcing american music award many people saying bile looked angry upset award besides bile given fan many reason believe trouble marriage tale fight divorcing look like medusa bile seriously talk personal hygiene cleanliness dirt bag look like never bathed life louse nasty hair bile much better ugly nasty pig
1471,1.0,heard always fighting lot talk divorce thank letting u know building another house closer boy school know stop buying everything green day related forget fat slob woman deserves big fancy house want money contributing fancy house car school brat incredibly nasty female fan green day ultimately destroy bile brilliant career stupid apparently blindconfusion staying
1472,1.0,adrienne divorce bile fat ugly could get anyone else even tried bile leave woman dumb pathetic enough stay admits attracted men make men right front ever notice problem female fan never issue kissing men gay people beard
1473,1.0,kind rumour going around bile joe including leaving green day going solo think absolutely hysterical man think actually solo career wife turning fan dozen agree comment make absolutely sense show married man kid much attention think fan give wife exactly want leave alone see kind career let retire fancy house building closer kid school fan definitely stop funding fat hog wife fancy lifestyle kid fancy school
1474,1.0,honestly really care agree little fan girl the bile hat he also obviously love adrienne fine yay bile joe let b really fan way stop buying gd march h wife ruining billy life
1475,1.0,rumour going around song gun adie bile joe getting divorce bile said anything rumour deny confirm
1476,1.0,people awful adrienne seems like lovely woman certainly attractive smell jealousy
1477,1.0,think divorce adrienne fat disgusting worthless piece
1478,1.0,well sorry blunt mentioning journalist bad marriage earn money pathetic better way earn money like paper boy example c mon bile serious dude
1479,1.0,interesting conversation forget getting divorced anything agree definitely killing career seem yoko ono green day heard nasty female fan regard comment adrienne need keep sank bitch bay alone reason bile lose every fan never life heard spouse rock star refer female fan group sank bitch lady real girl listen smart strong woman take derogatory insult wife rock star disbelieve one moment anyone jealous without doubt ugliest woman planet think give want ignore husband insulting stop voting green day award stop buying album stop attending concert believe get message across stronger venting done rock star allows wife treat deserves fan happily married say chasing married man child absolutely fruitless focus rockstar band appreciate attention
1480,1.0,kind rumour song gun getting divorce bile confirmed denied rumour divorce much good fat ugly could much better bit strange would put house sale middle world tour lived many year would make sense sell tour mysteriously went market september kid starting school leave several month europe asia timing seems odd separation possible divorce adrienne would explain house put sale sudden case loser much better without
1481,1.0,good reason fact bile admits fight like cat dog sound like hate hang around kid nobody jealous fat disgusting slob would anyone jealous thing could say last response bile care losing fan admitted interview unhappy stay home suburban dad let go back ever hell made think bus boy something let see stay bus boy matter fact last answer made think stupid fan bile care fan deserve smart support group care fan
1482,1.0,forget divorcing probably leave curious said experienced nasty still support bile joe way really smart modern woman give full attention man wife nasty would give time day case happily married post say absolutely fruitless showing married man child attention use time energy attention elsewhere either someone appreciates believe bile joe end everything plenty ban rock star would love half attention give bile joe woman cry belly aching leave husband alone give want wasting precious attention
1483,1.0,forget getting divorce think leave honest even guy sick tired hearing whining ugly woman severely hurting green day popularity woman bile smart would see sometimes think would differ happy completely ruin career bile one gifted songwriter generation sad genius career ruined miserable spouse even rumour going around bile wanting start solo career think success solo career highly unlikely long married also worry popularity green day suffering think fan would happy would go away
1484,1.0,think fan think finally dump totally turning fan fan stand turning back bile joe green day put amazing album century breakdown yet gun none single seem charting many fan longer voting green day fan based award poll fan saying see new musical project refuse support fat slob wife fancy lifestyle anymore already hurting career green day success personally think dump sorry as totally kill career together
1485,1.0,people saying divorcing heard nothing sort fact pictured holding hand looking quite love bile crew australia maybe fight mean divorcing many married couple fight still love end day
1486,1.0,think people agree bile dumped year ago understand girl let bother much fat monstrously ugly giving time day would say best thing give attention act like exist anything pity poor bile married beast
1487,1.0,oh god people honestly st split earth tour kid tow adrienne lovely waved london gig barrier waved back load u smiled lot kid also would stood side stage watching bile boy split happy together stop spreading malicious sad gossip grow married doubt time split get life
1488,1.0,adrienne best girl see say nasty jealous lot girl jealous w l never divorce adie best g rl love understand song sentence best cut
1489,1.0,ok old post angry gon na say saying go better late never disgusting people call fan slagging woman love jealous bit e wish could married year hopefully still married another year like f think make lovely couple
1490,1.0,care trying get attention fame back bile joe kid regarding fact manager led intervention last year proof care person reason fan think celebrity attention seeking desperate need limelight enjoys interview getting filmed documentary bile joe seems never get passed interview without mention worked charity celebrity made green day fundraiser campaign charity support tweet interact green day fan tweet son bile does tweet attention seeker succeed getting attention think deserves stop bullying fan giving attention order fan give wife rock star attention order allowed fan band wholly milk attention bile joe died would milk death attention narcissistic personality disorder anyone see going get abused forgive manager led intervention bile joe differ grovelling way around staying attention status fame lifestyle also manipulative manipulated enough people enable back delusion grandeur yes agree label yoko ono green day stop allowed get attention bile joe success allowed interfere desperate attention fame properly signing agent official celebrity desperately want back bile joes career choice stay someone tweeter addictive prescription pill went twitter deleting epic fail truly want drink drug free radical change needed obvious stick remember came punk scene straight edges go figure fan should even know ultimately fault letting get attention first place public relationship care limelight attention people give love love limelight make want puke importantly really annoys enough sycophants bully anyone rational enough see limelight loving attention seeker using family grab every opportunity turn attention limelight onto including interview publicity etc point communication thread whether journalist drop allows journalist drop publicity eco shop point bile joe armstrong name dropped us emily army gaining attention also plenty eco fairytale handmade artisan shop around oakland san francisco area shop get much attention publicity
1491,1.0,people talk negative adrienne actually met going see online anyone actually met bile negative experience
1492,1.0,husband smooth hiding infidelity proof month referred hacker decided give try result incredible cheating husband text message whatsit face-on even phone conversation wired directly cellphone dephacking helped put round clock monitoring got concrete evidence escapades spouse expert hiding cheating adventure contact dephacking mail dot com
1493,1.0,guy asshole talking like say ugly sure back mirror seeing personality maybe reason stop loving green day pathetic gossip
1494,1.0,anyone see gray award adrienne bile kissed green day still together
1495,1.0,come honestly bile joe adrienne cutest couple beautiful would never get divorce way met sweetest thing way happy face smiley
1496,1.0,laughing as many green day fan wasting time getting mad huge as green day fan think completely ridiculous people take seriously
1497,1.0,regardless woman look age weight personality concerned jerk spend money green day anymore kind smart funny inspired guarantee one person writing know personally anyone telling angry fan ripe day fan dislike adrienne retarded fact everyone getting upset side argument show person concerned fan bottom line another celebrity spotlight people direct amy lee say people making fun probably something right
1498,1.0,guy really unfair beautiful lovely personality love bj adrienne never meet never would cause help love much stopping f king conversation
1499,1.0,jesus christ people never going divorce love liked bile joe would know said men times adrienne woman ever love ther happy ther great couple
1500,1.0,well thing separation rumoured divorce coming left twice far past year always come back understand still someone allegedly horrible fan act sort celebrity actually care think feel say wife muse musical gave right act horrible give copy wright right music attitude suck look like horrid drug addled grown groupie muse musical career optionwhen left may really really hurt tv performing last american girl looked though going break tear divorce would coming shame chooses someone smug arrogant nasty fan people accuse others jealous say anything else wonderful beautiful kind saintly lovely personetc care seems attitude look look botha ha ha smirk smirk horrible quite miserable even someone like bile joe armstrong go continue someone never fails attitude need go home get perspective get reality check get pair visors cut nasty deadlock take shower say sorry everyone nasty bile acting like diva like year old come across arrogant horrible mean
1501,1.0,people agreeing adie bile get divorce clearly ripe day fan fan worship band want best member let start st argument firstly someone stated admitted interview unhappy stay home suburban dad let go back ever hell made think bus boy something let see stay bus boy completely wrong infact bile joe met adrienne whilst touring green day even famous bile joe band since mike started band bile joe said mtv behind music green day special adie nothing band roadie anything met street happened touring band area year age bile year old early second argument read multiple comment saying adie wrecking green day bile joe career read first argument bile joe love adie infatuation could break got band tour area adie lived could see tour would doubt mad band get lot fan follower band even popular bile joe mike tre lived apartment together tre dad driving tour bus time adie bile fell love proving marry money fame final argument someone commented incredibly nasty female fan green day ultimately destroy bile brilliant career stupid apparently blindconfusion staying one disgusting biased opinion ever heard knew person would certainly strike person rude cruel someone probably never even met get decent opinion bile joe person whatever want marry ever want joking least half green day song wife song last american girl perfect example adie also popular radio song many great song green day inspired written adie therefore ruining green day bile girlfriend even popular always doubt adie bile wife green day would even half popular biased computers probably would even know green day adie bile joe extremely attractive man plenty female would like date mean allowed wife talked many many many female fan green day think adie beautiful woman world people even met chance normal conversation beautiful woman inspires green day much sure bile stated fight couple fight keep strong close tell bile joe talked love adie much much frequently talk fighting bile joe adie getting divorce love eachother much family mean horrible person want bile kid money rest case rage n love dahlia
1502,1.0,idea whether getting divorced say woman totally turning green day hear le le green day fan become ignore people getting information especially person say know building house closer kid school sound like stalker see bile put statement interview know agree statement fat disgusting ugly slob bile finally divorce already woman done nothing merit life wholly green day bile lead example enough big fat wife music smart would see hurting career turning fan
1503,1.0,hey german english good want tell word think unfair adrienne wife year alone billy decision get think beautiful mother beautiful wife nobody know nobody know live face family life everyone think bile hot reason everyone find wife shitty maybe bile private asshole show commercial know also know adrienne shitty opinion female fan jealous reason set everyone let live life live life good last care get divorce
1504,1.0,fell love year ago still together bile does give think ugly unattractive untalented love definitely care losing fan like someone actually like music would stop adrienne pathetic anything absolutely nothing life adrienne love man support tour taking care kid like bile want support wife grow wait til get married kid might understand someone else want tell u get divorce please give one good reason one look reasonconfusion probably find none well might finally get jealous already knew
1505,1.0,forget getting divorced think divorce nasty slob hand ugliest woman alive also think funny think could kind solo career solo side project best turn every female fan majority bile fan femaleconfusion think differ happy totally destroys career really smart comment female fan help support ugly monster elaborate lifestyle much love bile allows behave like really deserve fan maybe realizes losing fan finally something
1506,1.0,forget divorcing definitely think divorce totally outgrown totally ruining otherwise brilliant career feel bad turned many bile fan big thump head obviously bright know bite hand feed fan spending money concert merchandise etc afforded pig fancy lifestyle absolve fan want turn back bile sad bile hurt really girl laugh pathetic fat ugly pathetic excuse woman husband admitted interview attracted men married sound like adrienne worried jealous hundred good looking fan flock see bile nasty laugh face throw dont way certainly get rid try make bile suffer action really great guy green day great group suffer fat hog
1507,1.0,think everyone think divorce heard separating although people said year fight like cat dog always wonder cut loose already absolutely hideous vomit mouth everytime see picture never really know go marriage day magazine interview bile joe admits bisexual admits feeling men married print see think besides hideously ugly pathetic person alive kind woman stay man admits feeling men married sad woman like girl differ upset laugh face
1508,1.0,would say majority would gone near bj unless famous adrienne bj fell love nobody together rough smooth absolve wanting keep sank groupie baybtw kid involved please aware could come across webster grow get poisonous jealousy much would love believe may separating hope especially reason keeping fan happy honestly think would blackmailed dumping mr keep fan hapypure delusional b also think bj hot respect husband father met october turned one charming polite men met famous guy grow wish family well instead vicious gossip wondering want buy green day record choice thousand u
1509,1.0,everyone slamming adrienne look ashamed none business look bile love everyone going much fat slob absolutely disappointing guy call green day fan would class guy fan bile adrienne argument perfectly normal someone basically half life going disagreement would say jealous bile fan would say guy jealous able find man dream really happy fulfilling life interested bile relationship stop fan green day one person band important bile
1510,1.0,discussion hilarious adrienne extremely accomplished educated beautiful person captured bile heart soul year ago impression house put market sudden would know know spend time redecorating refurbishing order sell seen interior picture bile boy spent time house minneapolis christmas seemed perfectly fine live saw eat one night show dinkytown green day fan many year good fortune meet separately together several time people saying differ green day fan anymore adrienne probably best respect appreciate relationship mean never truly understand bile green day matter hate sound cheesy good riddance hope never see show
1511,1.0,divorce guy building new house closer boy school think adi fat must strange view peopled live america people time adi size stop nonsense enjoy music
1512,1.0,husband work hotel green day stayed sydney australia bile adrienne say really nice people certainly looked much love kid bile adrienne mike confusion beginning december obviously still together
1513,1.0,forget getting divorce agree bile dumped year ago disbelieve even married creature ugliest woman ever seen life make want vomit looking heard incredibly nasty bile female fan forget let upset would laugh face completely pathetic laughable
1514,1.0,divorce bile seems married fat mama ca see leaving anytime soon would woman stupid enough stay admits attracted men interview magazine admits stay pathetic fat ugly really one else would want self respect would leave look fat ugly slob look like woman respect
1515,1.0,german girl guest comment than opinion bring point explain comment good english terrible confusion people unfair say care get divorce discussion amazing happy face smileyconfusion
1516,1.0,met young written many love song love way people stop carrying look stupid look really matter love think brave something could confusion let keep simple stupid guy tradition adie love bile joe married soon able married like minute backyard young love neither knew green day would success adie would cared would celebrity loved disbelieve unconditional love you idiot love bj bj love
1517,1.0,woman good taste love bile joe much person think leave personal life blown mean aloud bf of think able wife without trouble leave blown
1518,1.0,seriously horrible green day fan forever love music think purely amazing putting adrienne dirt ashamed bile joe together long pretty clear love think gorgeous woman calling fat remember give birth twice considering think still look amazing people call fan cut green day loved one disgust definitely deserve true green day fan adie inspiration bile joe see writing song get
1519,1.0,still together obviously fan thing would better without seem argue lot though fan resent degree others seem suck think keep bile joe happy angry hear allegedly horrible fan really make livid true know better also true deserve case obviously seeing something entirely different fan seeing see side seems totally taking granted fan thing dump
1520,1.0,oh come year land wth talking aboutjust listen music big fan green day wake dude dream dream crazy bile joe armstrongand think adie beautifulgeting divorce differ problemnothing u fat ugly disgusting sloppy attention stand mirror see bad beauty face body heart either great answer help vote answer said bile leave vote help answer obviate hopeless forget getting divorce think vote help fbi its
1521,1.0,think everyone leave adi alone frown sad angry pouting bile joe love much nice couple together like year hope never get divorce cute family stop jealous instead happy think luckiest person world happy face smiley make sick read bad thing people say imagine much would hurt reading something like everyone know crazy punk rock concert get xd adi making sure bile joe dive onto anybody kick fan like done couple time xd would put bad mood someone dick concert kick leave alone frown sad angry pouting
1522,1.0,church sunday written bile joe armstrong convince adrienne leave still together
1523,1.0,
1524,1.0,bile joe armstrong divorcing wife king punk like woman old fat ugly also like men young thin pretty
1525,1.0,okay first regardless whether getting divorced hell give right bitchy adrienne fair enough actually know decided like honestly many fact many know bile personally vouch everything project medium behind closed door hell know full story unless family unlikely confusion business whether fight time getting divorced secondly none anything marriage ignore personally right say whether bile divorce adrienne good enough married year think anyone decide whether adrienne good enough bile third green day band produce music always thought saying liked certain band stating fan music honestly see way person behaves towards fan change view music essentially fan band amazes people judgemental situation unconcern
1526,1.0,fact many marital problem big secret bile dumped year ago incredibly nasty green day female fan interesting know building nasty cow another house know purchase green day merchandise concert ticket really bother nasty fat slob u stupid fan putting another fancy house money spend green day stuff bile concert ugly wife new home jump refer jump jump jump get hand air fats say hey ugly stupid enough keep disappear shame could absolute amazing career really become one legend rock fat slob totally ruining brilliant career
1527,1.0,fat ugly pig bitch whine difficulty married look like medusa divorce tend think may truth rumour sudden put house sale september seems extremely odd someone would put house sale middle world tour one would think would wait tour home fact house sudden put sale make seem truth separation maybe divorce work
1528,1.0,whole fighting would differ happening darn kid get lawn v relationship business getting divorce would already divorced bile say love let run life okay let u stop fighting love
1529,1.0,honestly ignore think people jealous hoping leave marry btw get love death give reason say mean thing even nasty female fan mean boycott green day completely great band one might possibly snobbish wife mean like bile joe also using cover gay bi chose marry woman end think adrienne fat ugly medusa like idea wrong
1530,1.0,problem people united state america got enough time mind business cause got nose shoved everybody else ass wanting know business pay mind business time mind people business one thing get life stealing mexican outa country bring troop home
1531,1.0,bile wife nearly year grams looking happy love get going leave love stuck good time bad marriage imperfect whose love committed matter couple fight fact mean hate want get divorce
1532,1.0,would people get fact bile love adrienne adrienne love bile think she beautiful woman stop calling beast bile broke adrienne would already done adrienne broke bile couldnt able write song love stop green eyed monster bile love adrienne love green day ang yes admitted first son joey mariano armstrong born bisexual there nothing wrong obviously dont bother adrienne good thing jealous people hate get adrienne love love adrienne
1533,1.0,surest think fat disgusting slob throw mouth everytime see picture
1534,1.0,church ever lock door likely find service anytime especially time year
1535,1.0,make feel better always leave thought would
1536,1.0,make happy one else answer
1537,0.0,agree response
1538,1.0,go church
1539,1.0,going church going get closer god church social gathering name god showing one acquisition live right suffice get closer god
1540,0.0,absolutely
1541,1.0,please try might get hurt pain would differ worth since still would differ mermaid
1542,1.0,sure perhaps sardine
1543,0.0,thinking movie splash fun fantasy
